//ID,   Name,                   Jname,                  LV,     HP,     SP,     EXP,    JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop1id,Drop1per,Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%, Drop8id,Drop8%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength
1009,   BlackScorpion,          BlackScorpion,          100,    600,    0,      0,      37,     1,      60,     100,    4,      6,      16,     30,     10,     10,     35,     10,     1,      1,      1,      0,      20,     133,    1000,   1500,   672,    480,    523,    150,    509,    100,    518,    800,    709,    800,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      50
1010,   Snake,                  Snake,                  115,    850,    0,      0,      56,     1,      75,     90,     4,      6,      20,     11,     10,     10,     35,     10,     1,      1,      1,      0,      20,     133,    900,    1300,   672,    480,    641,    150,    0,      0,      714,    400,    714,    400,    710,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1012,   Spider,                 Spider,                 125,    800,    0,      0,      115,    1,      70,     85,     4,      6,      14,     13,     10,     10,     35,     10,     1,      1,      1,      0,      25,     175,    1000,   1500,   672,    480,    537,    500,    535,    100,    638,    20,     526,    200,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1013,   EvilMushroom,           EvilMushroom,           110,    650,    0,      0,      35,     1,      65,     80,     4,      6,      16,     12,     10,     10,     35,     10,     1,      1,      1,      3,      22,     137,    800,    1800,   672,    480,    535,    500,    540,    10,     534,    100,    566,    1000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60
1014,   PinkFlower,             PinkFlower,             115,    700,    0,      0,      40,     2,      70,     75,     0,      5,      16,     12,     20,     20,     20,     50,     2,      2,      1,      3,      22,     128,    800,    800,    672,    480,    535,    100,    540,    10,     1199,   100,    526,    400,    565,    1000,   565,    1000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      50
1015,   SantaSlime,             SantaSlime,             120,    750,    0,      0,      58,     1,      75,     80,     2,      7,      1,      20,     1,      0,      30,     30,     1,      1,      1,      0,      21,     161,    1500,   1872,   672,    480,    512,    800,    513,    700,    514,    600,    519,    500,    527,    400,    538,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      10
1022,   JackO,                  JackO,                  250,    10000,  0,      0,      1241,   2,      100,    500,    40,     20,     35,     40,     25,     25,     35,     50,     1,      1,      1,      0,      20,     133,    250,    1500,   672,    480,    617,    300,    622,    400,    624,    400,    620,    400,    615,    300,    1203,   400,    1198,   10000,  616,    600,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1023,   FireSkull,              FireSkull,              180,    5000,   0,      0,      721,    2,      75,     175,    35,     15,     30,     30,     20,     20,     25,     60,     1,      1,      1,      3,      23,     175,    600,    1600,   672,    480,    631,    1000,   701,    5000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1024,   PoisonSkull,            PoisonSkull,            180,    5000,   0,      0,      721,    2,      75,     175,    35,     15,     30,     30,     20,     20,     25,     60,     1,      1,      1,      3,      25,     175,    600,    1600,   672,    480,    631,    1000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,      20
1026,   MountainSnake,          MountainSnake,          130,    900,    0,      0,      63,     1,      80,     125,    4,      6,      20,     40,     10,     10,     35,     45,     1,      1,      1,      0,      20,     133,    1000,   1500,   672,    480,    532,    20,     641,    350,    715,    400,    715,    400,    711,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      30
